,name,types,country,aliases,addresses,email_address,ror_id
10,Western Digital (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.292625, 'lng': 4.698864, 'state': None, 'state_code': None, 'city': 'Hoofddorp', 'geonames_city': {'id': 2753801, 'city': 'Hoofddorp', 'geonames_admin1': {'name': 'North Holland', 'id': 2749879, 'ascii_name': 'North Holland', 'code': 'NL.07'}, 'geonames_admin2': {'name': 'Gemeente Haarlemmermeer', 'id': 2754999, 'ascii_name': 'Gemeente Haarlemmermeer', 'code': 'NL.07.0394'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Noord-Holland', 'code': 'NL32'}, 'nuts_level3': {'name': 'Groot-Amsterdam', 'code': 'NL326'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,05f4fbs05
11,Tagworks Pharmaceuticals (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.411719, 'lng': 5.452022, 'state': None, 'state_code': None, 'city': 'Eindhoven', 'geonames_city': {'id': 2756253, 'city': 'Eindhoven', 'geonames_admin1': {'name': 'North Brabant', 'id': 2749990, 'ascii_name': 'North Brabant', 'code': 'NL.06'}, 'geonames_admin2': {'name': 'Gemeente Eindhoven', 'id': 2756252, 'ascii_name': 'Gemeente Eindhoven', 'code': 'NL.06.0772'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'ZUID-NEDERLAND', 'code': 'NL4'}, 'nuts_level2': {'name': 'Noord-Brabant', 'code': 'NL41'}, 'nuts_level3': {'name': 'Zuidoost-Noord-Brabant', 'code': 'NL414'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,0364yac91
12,International Confederation of Midwives,['Nonprofit'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.084759, 'lng': 4.294965, 'state': None, 'state_code': None, 'city': 'The Hague', 'geonames_city': {'id': 2747373, 'city': 'The Hague', 'geonames_admin1': {'name': 'South Holland', 'id': 2743698, 'ascii_name': 'South Holland', 'code': 'NL.11'}, 'geonames_admin2': {'name': 'Gemeente Den Haag', 'id': 2747372, 'ascii_name': 'Gemeente Den Haag', 'code': 'NL.11.0518'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Zuid-Holland', 'code': 'NL33'}, 'nuts_level3': {'name': ""Agglomeratie 's-Gravenhage"", 'code': 'NL332'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,039c24767
13,International Pharmaceutical Federation,['Nonprofit'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.087132, 'lng': 4.28658, 'state': None, 'state_code': None, 'city': 'The Hague', 'geonames_city': {'id': 2747373, 'city': 'The Hague', 'geonames_admin1': {'name': 'South Holland', 'id': 2743698, 'ascii_name': 'South Holland', 'code': 'NL.11'}, 'geonames_admin2': {'name': 'Gemeente Den Haag', 'id': 2747372, 'ascii_name': 'Gemeente Den Haag', 'code': 'NL.11.0518'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Zuid-Holland', 'code': 'NL33'}, 'nuts_level3': {'name': ""Agglomeratie 's-Gravenhage"", 'code': 'NL332'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,0282kvf82
14,International Research Universities Network,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': None, 'lng': None, 'state': None, 'state_code': None, 'city': 'Nijmegen', 'geonames_city': {'id': 2750053, 'city': 'Nijmegen', 'geonames_admin1': {'name': 'Gelderland', 'id': 2755634, 'ascii_name': 'Gelderland', 'code': 'NL.03'}, 'geonames_admin2': {'name': 'Gemeente Nijmegen', 'id': 2750052, 'ascii_name': 'Gemeente Nijmegen', 'code': 'NL.03.0268'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Gelderland', 'code': 'NL22'}, 'nuts_level3': {'name': 'Arnhem/Nijmegen', 'code': 'NL226'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,04484bb06
15,Protestant Theological University,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.557753, 'lng': 5.912881, 'state': None, 'state_code': None, 'city': 'Kampen', 'geonames_city': {'id': 2753106, 'city': 'Kampen', 'geonames_admin1': {'name': 'Overijssel', 'id': 2748838, 'ascii_name': 'Overijssel', 'code': 'NL.15'}, 'geonames_admin2': {'name': 'Gemeente Kampen', 'id': 2753104, 'ascii_name': 'Gemeente Kampen', 'code': 'NL.15.0166'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Overijssel', 'code': 'NL21'}, 'nuts_level3': {'name': 'Noord-Overijssel', 'code': 'NL211'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,016w23120
16,Tio University,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",['Tio University of Applied Sciences'],"[{'lat': 52.0961537, 'lng': 5.1110252, 'state': None, 'state_code': None, 'city': 'Hengelo', 'geonames_city': {'id': 2754394, 'city': 'Hengelo', 'geonames_admin1': {'name': 'Overijssel', 'id': 2748838, 'ascii_name': 'Overijssel', 'code': 'NL.15'}, 'geonames_admin2': {'name': 'Gemeente Hengelo', 'id': 2754392, 'ascii_name': 'Gemeente Hengelo', 'code': 'NL.15.0164'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Overijssel', 'code': 'NL21'}, 'nuts_level3': {'name': 'Twente', 'code': 'NL213'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00560h931
17,University of Humanistic Studies,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.091697, 'lng': 5.125636, 'state': None, 'state_code': None, 'city': 'Utrecht', 'geonames_city': {'id': 2745912, 'city': 'Utrecht', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Utrecht', 'id': 2745911, 'ascii_name': 'Gemeente Utrecht', 'code': 'NL.09.0344'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,04w5ec154
18,Centre for Medical Systems Biology,['Facility'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.167898, 'lng': 4.477474, 'state': None, 'state_code': None, 'city': 'Leiden', 'geonames_city': {'id': 2751773, 'city': 'Leiden', 'geonames_admin1': {'name': 'South Holland', 'id': 2743698, 'ascii_name': 'South Holland', 'code': 'NL.11'}, 'geonames_admin2': {'name': 'Gemeente Leiden', 'id': 2751772, 'ascii_name': 'Gemeente Leiden', 'code': 'NL.11.0546'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Zuid-Holland', 'code': 'NL33'}, 'nuts_level3': {'name': 'Agglomeratie Leiden en Bollenstreek', 'code': 'NL337'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00e7dfm13
19,Christelijk Gymnasium Utrecht,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.088387, 'lng': 5.099544, 'state': None, 'state_code': None, 'city': 'Utrecht', 'geonames_city': {'id': 2745912, 'city': 'Utrecht', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Utrecht', 'id': 2745911, 'ascii_name': 'Gemeente Utrecht', 'code': 'NL.09.0344'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02gd5t807
20,Hogeschool de Kempel,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.471082, 'lng': 5.709766, 'state': None, 'state_code': None, 'city': 'Helmond', 'geonames_city': {'id': 2754447, 'city': 'Helmond', 'geonames_admin1': {'name': 'North Brabant', 'id': 2749990, 'ascii_name': 'North Brabant', 'code': 'NL.06'}, 'geonames_admin2': {'name': 'Gemeente Helmond', 'id': 2754446, 'ascii_name': 'Gemeente Helmond', 'code': 'NL.06.0794'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'ZUID-NEDERLAND', 'code': 'NL4'}, 'nuts_level2': {'name': 'Noord-Brabant', 'code': 'NL41'}, 'nuts_level3': {'name': 'Zuidoost-Noord-Brabant', 'code': 'NL414'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,056k6yz11
21,Hogeschool iPabo,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.367516, 'lng': 4.836804, 'state': None, 'state_code': None, 'city': 'Amsterdam', 'geonames_city': {'id': 2759794, 'city': 'Amsterdam', 'geonames_admin1': {'name': 'North Holland', 'id': 2749879, 'ascii_name': 'North Holland', 'code': 'NL.07'}, 'geonames_admin2': {'name': 'Gemeente Amsterdam', 'id': 2759793, 'ascii_name': 'Gemeente Amsterdam', 'code': 'NL.07.0363'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Noord-Holland', 'code': 'NL32'}, 'nuts_level3': {'name': 'Groot-Amsterdam', 'code': 'NL326'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,0230zs006
22,AMN (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 51.986319, 'lng': 5.90854, 'state': None, 'state_code': None, 'city': 'Arnhem', 'geonames_city': {'id': 2759661, 'city': 'Arnhem', 'geonames_admin1': {'name': 'Gelderland', 'id': 2755634, 'ascii_name': 'Gelderland', 'code': 'NL.03'}, 'geonames_admin2': {'name': 'Gemeente Arnhem', 'id': 2759660, 'ascii_name': 'Gemeente Arnhem', 'code': 'NL.03.0202'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'OOST-NEDERLAND', 'code': 'NL2'}, 'nuts_level2': {'name': 'Gelderland', 'code': 'NL22'}, 'nuts_level3': {'name': 'Arnhem/Nijmegen', 'code': 'NL226'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,00gnbgz55
23,Credit Comfort,['Other'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.080781, 'lng': 4.890613, 'state': None, 'state_code': None, 'city': 'Woerden', 'geonames_city': {'id': 2744248, 'city': 'Woerden', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Woerden', 'id': 2744247, 'ascii_name': 'Gemeente Woerden', 'code': 'NL.09.0632'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02rpygq27
24,Amsterdam Museum,['Archive'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",['Amsterdams Historisch Museum'],"[{'lat': 52.370075, 'lng': 4.889963, 'state': None, 'state_code': None, 'city': 'Amsterdam', 'geonames_city': {'id': 2759794, 'city': 'Amsterdam', 'geonames_admin1': {'name': 'North Holland', 'id': 2749879, 'ascii_name': 'North Holland', 'code': 'NL.07'}, 'geonames_admin2': {'name': 'Gemeente Amsterdam', 'id': 2759793, 'ascii_name': 'Gemeente Amsterdam', 'code': 'NL.07.0363'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Noord-Holland', 'code': 'NL32'}, 'nuts_level3': {'name': 'Groot-Amsterdam', 'code': 'NL326'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,05cj5gd51
25,Openbare Scholengemeenschap De Hogeberg,['Education'],"{'country_name': 'Netherlands', 'country_code': 'NL'}","['OSG genoemd', 'OSG De Hogeberg']","[{'lat': 53.050836, 'lng': 4.799973, 'state': None, 'state_code': None, 'city': 'Den Burg', 'geonames_city': {'id': 2757244, 'city': 'Den Burg', 'geonames_admin1': {'name': 'North Holland', 'id': 2749879, 'ascii_name': 'North Holland', 'code': 'NL.07'}, 'geonames_admin2': {'name': 'Gemeente Texel', 'id': 2746383, 'ascii_name': 'Gemeente Texel', 'code': 'NL.07.0448'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Noord-Holland', 'code': 'NL32'}, 'nuts_level3': {'name': 'Kop van Noord-Holland', 'code': 'NL321'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,008za0b72
26,Mulier Institute,['Other'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.080295, 'lng': 5.143152, 'state': None, 'state_code': None, 'city': 'Utrecht', 'geonames_city': {'id': 2745912, 'city': 'Utrecht', 'geonames_admin1': {'name': 'Utrecht', 'id': 2745909, 'ascii_name': 'Utrecht', 'code': 'NL.09'}, 'geonames_admin2': {'name': 'Gemeente Utrecht', 'id': 2745911, 'ascii_name': 'Gemeente Utrecht', 'code': 'NL.09.0344'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Utrecht', 'code': 'NL31'}, 'nuts_level3': {'name': 'Utrecht', 'code': 'NL310'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,0325s8d52
27,Ingenieursburo Balvers (Netherlands),['Company'],"{'country_name': 'Netherlands', 'country_code': 'NL'}",[],"[{'lat': 52.692665, 'lng': 4.833906, 'state': None, 'state_code': None, 'city': 'Heerhugowaard', 'geonames_city': {'id': 2754659, 'city': 'Heerhugowaard', 'geonames_admin1': {'name': 'North Holland', 'id': 2749879, 'ascii_name': 'North Holland', 'code': 'NL.07'}, 'geonames_admin2': {'name': 'Gemeente Heerhugowaard', 'id': 2754658, 'ascii_name': 'Gemeente Heerhugowaard', 'code': 'NL.07.0398'}, 'license': {'attribution': 'Data from geonames.org under a CC-BY 3.0 license', 'license': 'http://creativecommons.org/licenses/by/3.0/'}, 'nuts_level1': {'name': 'WEST-NEDERLAND', 'code': 'NL3'}, 'nuts_level2': {'name': 'Noord-Holland', 'code': 'NL32'}, 'nuts_level3': {'name': 'Kop van Noord-Holland', 'code': 'NL321'}}, 'postcode': None, 'primary': False, 'line': None, 'country_geonames_id': 2750405}]",,02esv1036
